make,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,estimated_price,registration_year
mercedes-benz,2010.0,2011-03-16,luxury sedan,"coe car, premium ad car",auto,1500.0,115.0,1597.0,5.0,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,87000.0,150000,2011
subaru,2007.0,2007-09-19,mid-sized sedan,"coe car, premium ad car",manual,1260.0,70.0,1597.0,5.0,13130.0,44081,1113.0,14372.0,147000.0,10074.0,11082.0,42800.0,114000,2007
mitsubishi,2019.0,2019-05-31,truck,-,manual,2380.0,,2998.0,1.0,14080.0,23280,,11544.0,62000.0,29628.0,1482.0,69800.0,109000,2019
mercedes-benz,2017.0,2017-12-04,luxury sedan,"parf car, premium ad car",auto,1700.0,110.0,1950.0,2.0,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,103800.0,271888,2017
bmw,2016.0,2017-01-11,luxury sedan,"parf car, premium ad car",auto,1425.0,100.0,1499.0,2.0,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,55999.0,200000,2017
audi,2020.0,2020-09-16,suv,"parf car, premium ad car",auto,1545.0,110.0,1395.0,2.0,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,143800.0,193800,2020
toyota,2009.0,2009-12-11,mid-sized sedan,coe car,auto,1095.0,80.0,1497.0,4.0,,15287,1026.0,1156.0,149838.0,12717.0,12717.0,5800.0,90388,2009
mitsubishi,2018.0,2018-11-30,suv,"parf car, premium ad car, low mileage car",auto,1480.0,110.0,1998.0,1.0,16190.0,34381,1210.0,31811.0,47000.0,22527.0,23538.0,84000.0,118000,2018
mazda,2017.0,2017-06-05,mid-sized sedan,parf car,auto,1310.0,88.0,1496.0,2.0,14450.0,52000,682.0,21300.0,87000.0,14761.0,9761.0,47800.0,134800,2017
Honda,2018.0,2019-01-11,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1324.0,127.0,1498.0,2.0,17430.0,30851,684.0,34304.0,64000.0,26594.0,29232.0,92950.0,155000,2019
bmw,2006.0,2006-04-06,sports car,coe car,auto,1580.0,190.0,2996.0,5.0,16480.0,47450,3573.0,8580.0,156756.5,73635.0,80999.0,29800.0,107000,2006
mazda,2019.0,2020-10-19,hatchback,"opc car, parf car",auto,1067.0,85.0,1496.0,1.0,10440.0,19534,182.0,25904.0,45000.0,18419.0,18419.0,73800.0,102888,2020
peugeot,1981.0,2022-11-12,mid-sized sedan,"imported used vehicle, coe car, rare & exotic, vintage cars",manual,1140.0,59.0,1796.0,2.0,,10766,280.0,9058.0,30000.0,3613.0,3613.0,49888.0,50000,2022
toyota,2018.0,2018-08-29,mpv,"parf car, premium ad car, hybrid cars",auto,1610.0,100.0,1797.0,1.0,22310.0,38700,974.0,35279.0,85100.0,32573.0,27603.0,105800.0,182888,2018
Volkswagen,2018.0,2018-08-06,hatchback,"parf car, premium ad car",auto,1257.0,81.0,999.0,3.0,13130.0,32699,392.0,25182.0,78000.0,17008.0,17008.0,61800.0,120000,2018
hyundai,2017.0,2017-09-07,mid-sized sedan,"parf car, premium ad car",auto,1345.0,93.0,1591.0,1.0,13700.0,46778,738.0,23273.0,129714.0,12579.0,12579.0,50500.0,91000,2017
honda,2015.0,2015-12-14,mpv,"parf car, premium ad car, low mileage car",auto,1855.0,129.0,2356.0,2.0,20010.0,57501,1630.0,25993.0,70000.0,28300.0,31620.0,45800.0,189999,2015
honda,2008.0,2008-12-05,mpv,"coe car, low mileage car",auto,1350.0,103.0,1799.0,1.0,12860.0,31553,1467.0,13442.0,115000.0,17446.0,6947.0,54800.0,95000,2008
volkswagen,2017.0,2017-12-29,luxury sedan,"parf car, premium ad car, low mileage car",auto,1716.0,206.0,1984.0,1.0,22110.0,53711,1194.0,54192.0,63161.0,44874.0,54824.0,103800.0,250000,2017
mazda,2017.0,2017-02-17,mid-sized sedan,parf car,auto,1331.0,88.0,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,47800.0,157000,2017
bentley,2022.0,2023-04-13,sports car,"parf car, premium ad car, low mileage car",auto,2335.0,404.0,3996.0,1.0,116950.0,107889,3944.0,485041.0,1702.0,268927.0,531640.0,1288888.0,888000,2023
bmw,2016.0,2016-11-18,luxury sedan,"parf car, premium ad car, low mileage car",auto,1540.0,185.0,1998.0,3.0,26250.0,56206,1210.0,48636.0,63000.0,47372.0,58321.0,92888.0,258000,2016
mercedes-benz,2008.0,2009-01-21,luxury sedan,"coe car, premium ad car",auto,1605.0,150.0,2497.0,2.0,10510.0,31553,2694.0,14350.0,185000.0,55328.0,55328.0,47800.0,260000,2009
honda,2016.0,2016-04-06,suv,parf car,auto,1574.0,140.0,2354.0,3.0,15870.0,46502,1628.0,27206.0,86000.0,30143.0,34201.0,45800.0,146500,2016
mercedes-benz,2019.0,2020-01-03,suv,parf car,auto,1735.0,155.0,1991.0,1.0,24340.0,41805,1202.0,63175.0,105000.0,43770.0,53278.0,161800.0,246000,2020
honda,2018.0,2019-02-28,stationwagon,"parf car, premium ad car, low mileage car",auto,1130.0,97.0,1496.0,2.0,14240.0,26301,682.0,19110.0,47000.0,19924.0,9924.0,70800.0,118000,2019
bmw,2020.0,2023-06-07,luxury sedan,"imported used vehicle, parf car",auto,1875.0,250.0,2998.0,1.0,,118990,2384.0,,17000.0,82130.0,142816.0,358800.0,408000,2023
mercedes-benz,2014.0,2017-09-28,luxury sedan,"imported used vehicle, parf car",auto,1405.0,155.0,1991.0,3.0,,50000,1202.0,,112168.0,12360.0,12360.0,72333.0,230000,2017
mercedes-benz,2022.0,2023-01-06,suv,"parf car, consignment car, sgcarmart warranty cars",auto,2505.0,243.0,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,450000.0,320000,2023
bmw,2018.0,2018-05-24,mpv,"parf car, premium ad car",auto,1480.0,75.0,1499.0,3.0,13980.0,38001,684.0,39297.0,163888.0,32789.0,37905.0,72888.0,191000,2018
honda,2018.0,2018-05-22,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1096.0,88.0,1497.0,2.0,13020.0,38389,684.0,25705.0,95000.0,17233.0,17233.0,57800.0,103800,2018
ssangyong,2011.0,2011-08-12,truck,"coe car, low mileage car",auto,1800.0,,1998.0,3.0,9570.0,39522,,28293.0,106000.0,16282.0,16282.0,68500.0,60000,2011
isuzu,2012.0,2012-10-10,truck,coe car,manual,11800.0,,15681.0,1.0,25730.0,26442,,16155.0,108000.0,102219.0,5111.0,78600.0,160000,2012
bmw,2019.0,2022-10-28,sports car,"imported used vehicle, parf car",auto,1570.0,317.0,2979.0,1.0,,90002,2362.0,,38000.0,46215.0,56701.0,260800.0,410000,2022
audi,2019.0,2019-03-26,suv,parf car,auto,1315.0,85.0,999.0,1.0,16260.0,26659,392.0,31345.0,90000.0,24924.0,26894.0,89800.0,161000,2019
volvo,2015.0,2015-12-18,hatchback,"parf car, sgcarmart warranty cars",auto,1450.0,90.0,1498.0,3.0,14230.0,56989,684.0,18889.0,113000.0,22664.0,18730.0,30800.0,142000,2015
mitsubishi,2016.0,2016-10-26,suv,"parf car, premium ad car",auto,1355.0,110.0,1998.0,1.0,14090.0,55501,1210.0,24532.0,98000.0,19041.0,19041.0,42800.0,107000,2016
toyota,2014.0,2014-09-17,mid-sized sedan,"parf car, low mileage car",auto,1205.0,90.0,1598.0,1.0,,62890,742.0,8427.0,90000.0,18650.0,13650.0,16888.0,115000,2014
nissan,2016.0,2017-09-14,truck,premium ad car,manual,1800.0,,2953.0,1.0,10570.0,42809,,13159.0,120381.0,26468.0,1324.0,32500.0,62400,2017
volkswagen,2015.0,2016-07-29,hatchback,parf car,auto,1249.0,92.0,1395.0,2.0,15830.0,53000,624.0,17656.0,109000.0,20513.0,10719.0,38888.0,93000,2016
honda,2018.0,2018-06-12,stationwagon,"parf car, premium ad car, hybrid cars",auto,1190.0,101.0,1496.0,2.0,14890.0,38700,682.0,18094.0,65000.0,20960.0,5000.0,59600.0,138000,2018
toyota,2008.0,2009-09-23,suv,"coe car, low mileage car",auto,1600.0,118.0,2362.0,5.0,11920.0,37941,2457.0,20010.0,130650.0,27778.0,27778.0,62888.0,205000,2009
kia,2014.0,2014-09-29,mid-sized sedan,"coe car, premium ad car, sgcarmart warranty cars",auto,1295.0,95.0,1591.0,2.0,11850.0,39241,738.0,38273.0,112000.0,13767.0,8767.0,57800.0,102800,2014
jaguar,2021.0,2022-01-28,suv,"parf car, electric cars",auto,2208.0,294.0,,1.0,24030.0,82501,4086.0,122194.0,33000.0,79889.0,80801.0,219800.0,412888,2022
toyota,2008.0,2008-06-20,mpv,"coe car, premium ad car",auto,1750.0,125.0,2362.0,4.0,12910.0,50578,2457.0,17973.0,170000.0,28187.0,28187.0,45888.0,100000,2008
hyundai,2009.0,2009-02-16,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,1264.0,89.0,1591.0,5.0,9910.0,25727,1107.0,11475.0,140000.0,11635.0,336.0,44188.0,95200,2009
nissan,2017.0,2017-03-31,suv,"parf car, premium ad car",auto,1285.0,85.0,1197.0,1.0,14340.0,50789,508.0,22315.0,81368.0,18583.0,13583.0,46800.0,94788,2017
MINI,2011.0,2012-01-31,hatchback,"coe car, premium ad car",auto,1295.0,88.0,1598.0,2.0,14850.0,27020,965.0,13754.0,128266.5,25966.0,25966.0,37800.0,68000,2012
Toyota,2012.0,2012-08-02,bus/mini bus,"coe car, premium ad car",auto,2180.0,,2982.0,3.0,13730.0,26276,,15996.0,108000.0,54645.0,2733.0,41800.0,139000,2012
hyundai,2009.0,2009-08-07,mid-sized sedan,"coe car, consignment car",auto,1264.0,89.0,1591.0,4.0,10010.0,26175,1107.0,12765.0,199661.0,11216.0,11216.0,48800.0,113000,2009
mg,1995.0,1998-11-06,sports car,"coe car, premium ad car, low mileage car",auto,,,1796.0,6.0,11050.0,32279,1461.0,14141.0,91000.0,30259.0,42363.0,48400.0,30000,1998
lexus,2023.0,2023-10-31,suv,"parf car, almost new car, low mileage car, hybrid cars",auto,1960.0,184.0,2487.0,1.0,34670.0,150001,1784.0,180001.0,8000.0,73915.0,120788.0,377800.0,293888,2023
mazda,2016.0,2016-05-27,luxury sedan,"parf car, premium ad car",auto,1513.0,141.0,2488.0,3.0,12510.0,49700,1786.0,26306.0,109062.0,27853.0,30995.0,38800.0,155000,2016
volkswagen,2018.0,2019-05-29,hatchback,"parf car, premium ad car, low mileage car",auto,1270.0,92.0,1395.0,2.0,15870.0,27000,624.0,31987.0,44000.0,24707.0,26590.0,91888.0,155000,2019
kia,2020.0,2020-10-07,suv,"parf car, low mileage car",auto,1185.0,88.0,998.0,1.0,14170.0,38504,392.0,30766.0,34296.0,19037.0,9037.0,92800.0,138888,2020
mazda,2019.0,2021-01-04,mid-sized sedan,"parf car, hybrid cars",auto,1397.0,88.0,1496.0,1.0,15330.0,37690,682.0,34489.0,72000.0,26036.0,13451.0,105988.0,144888,2021
seat,2017.0,2018-11-23,stationwagon,parf car,auto,1259.0,85.0,999.0,1.0,12750.0,28199,392.0,32338.0,94000.0,25933.0,28307.0,70800.0,135000,2018
audi,2021.0,2021-04-26,suv,"parf car, premium ad car",auto,1545.0,110.0,1395.0,1.0,19940.0,47001,624.0,54458.0,42000.0,27557.0,30580.0,148999.0,163000,2021
hyundai,2018.0,2019-03-12,hatchback,"parf car, premium ad car, sgcarmart warranty cars",auto,1240.0,103.0,1353.0,1.0,15770.0,36961,600.0,30191.0,57500.0,18103.0,18103.0,83800.0,122000,2019
nissan,2019.0,2020-02-21,van,premium ad car,manual,1800.0,,2488.0,1.0,11060.0,25001,,14014.0,62000.0,25565.0,1279.0,61988.0,71788,2020
bmw,2019.0,2019-08-16,suv,"parf car, direct owner sale",auto,1720.0,135.0,1998.0,2.0,27800.0,40001,1210.0,64457.0,62000.0,47396.0,58355.0,173000.0,308000,2019
nissan,2021.0,2022-02-17,hatchback,"parf car, premium ad car, hybrid cars",auto,1220.0,85.0,1198.0,2.0,13970.0,60761,714.0,51509.0,24467.0,21061.0,6486.0,110500.0,120000,2022
toyota,2008.0,2008-09-29,suv,"coe car, premium ad car",auto,1150.0,80.0,1495.0,4.0,11600.0,32339,1023.0,13609.0,145000.0,15281.0,15281.0,48800.0,136000,2008
hyundai,2017.0,2017-11-02,mid-sized sedan,"parf car, premium ad car",auto,1345.0,93.0,1591.0,2.0,15980.0,41761,738.0,21893.0,123000.0,11960.0,11960.0,60000.0,91000,2017
mini,2015.0,2016-02-26,hatchback,parf car,auto,1320.0,100.0,1499.0,2.0,19110.0,46970,684.0,21766.0,98200.0,27192.0,25069.0,45000.0,199000,2016
lexus,2015.0,2015-08-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,1615.0,135.0,2494.0,1.0,18320.0,62140,1792.0,32758.0,87337.0,39966.0,47953.0,42800.0,344000,2015
mercedes-benz,2018.0,2019-01-23,suv,parf car,auto,1705.0,135.0,1991.0,2.0,23440.0,31001,1202.0,49741.0,123000.0,42569.0,51597.0,128800.0,263000,2019
peugeot,2017.0,2018-06-19,van,premium ad car,auto,1460.0,,1560.0,2.0,8430.0,30280,,12145.0,91000.0,20290.0,1015.0,33800.0,104000,2018
honda,2017.0,2017-08-02,suv,"parf car, hybrid cars",auto,1280.0,112.0,1496.0,2.0,14870.0,50001,682.0,18483.0,76000.0,25340.0,5000.0,47800.0,114888,2017
honda,2007.0,2008-01-17,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,1220.0,92.0,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,60000.0,101800,2008
honda,2018.0,2018-07-23,hatchback,"parf car, hybrid cars",auto,1080.0,101.0,1496.0,2.0,13350.0,31001,682.0,18404.0,78000.0,19759.0,9759.0,56800.0,108000,2018
mercedes-benz,2013.0,2013-10-24,luxury sedan,"coe car, premium ad car, sgcarmart warranty cars",auto,1430.0,115.0,1595.0,5.0,11830.0,99617,814.0,79694.0,119000.0,29909.0,23873.0,109800.0,202000,2013
bmw,2017.0,2017-06-27,luxury sedan,parf car,auto,1540.0,135.0,1998.0,2.0,21170.0,47501,1210.0,40507.0,105000.0,40838.0,44174.0,84500.0,213000,2017
mercedes-benz,2008.0,2009-02-25,luxury sedan,"coe car, premium ad car",auto,1485.0,115.0,1796.0,5.0,11380.0,31335,1461.0,14260.0,165000.0,37067.0,37067.0,51800.0,184000,2009
bentley,2013.0,2013-12-11,sports car,"coe car, consignment car",auto,2295.0,373.0,3993.0,5.0,28640.0,45586,4334.0,30212.0,108000.0,172046.0,281683.0,189800.0,565000,2013
volkswagen,2016.0,2016-04-01,luxury sedan,"parf car, premium ad car",auto,1480.0,132.0,1798.0,1.0,14400.0,50089,976.0,25150.0,107529.0,31415.0,30981.0,38800.0,126000,2016
audi,2011.0,2011-07-14,sports car,"coe car, premium ad car",auto,1565.0,316.0,4163.0,6.0,30160.0,53932,5888.0,36836.0,128266.5,147728.0,147728.0,206000.0,350000,2011
audi,2016.0,2017-04-27,hatchback,"parf car, premium ad car",auto,1165.0,70.0,999.0,5.0,15850.0,48556,392.0,17925.0,82308.0,21256.0,6759.0,48800.0,169000,2017
citroen,2022.0,2024-01-19,van,"almost new car, electric cars",auto,2000.0,,,1.0,11920.0,23143,,22217.0,16579.5,47243.0,2363.0,114500.0,138000,2024
honda,2017.0,2017-06-30,suv,"parf car, premium ad car, hybrid cars",auto,1280.0,112.0,1496.0,1.0,14750.0,53001,682.0,18276.0,94000.0,26381.0,5000.0,45000.0,114888,2017
audi,2019.0,2020-07-13,suv,"parf car, premium ad car",auto,1795.0,185.0,1984.0,1.0,22720.0,35889,1194.0,61850.0,61000.0,43839.0,53375.0,164800.0,295000,2020
toyota,2019.0,2020-10-22,mpv,parf car,auto,1940.0,134.0,2493.0,2.0,26730.0,41001,1792.0,62153.0,54000.0,40098.0,48138.0,193888.0,400000,2020
ferrari,1986.0,1986-09-01,sports car,"coe car, rare & exotic, low mileage car, vintage cars",manual,,,3185.0,5.0,276380.0,59798,,7962.0,45000.0,,,368000.0,320000,1986
Volkswagen,2015.0,2015-11-20,hatchback,parf car,auto,1249.0,90.0,1395.0,2.0,11950.0,56001,624.0,12171.0,110000.0,19158.0,9158.0,19800.0,93000,2015
hyundai,2018.0,2018-02-07,mid-sized sedan,"parf car, sgcarmart warranty cars",auto,1115.0,73.0,1368.0,3.0,12370.0,41400,608.0,19845.0,78000.0,7828.0,7828.0,48000.0,85000,2018
porsche,2014.0,2015-05-19,suv,"parf car, direct owner sale",auto,1940.0,250.0,2997.0,4.0,48410.0,77600,2382.0,57470.0,116000.0,71450.0,100610.0,95000.0,326000,2015
hyundai,2008.0,2008-11-12,hatchback,"coe car, low mileage car",manual,1122.0,48.0,1086.0,1.0,9090.0,30284,663.0,13267.0,130000.0,7890.0,7890.0,39800.0,23000,2008
tesla,2021.0,2021-09-20,luxury sedan,"parf car, consignment car, electric cars",auto,1844.0,377.0,,1.0,16090.0,62600,5384.0,88663.0,87000.0,73264.0,58876.0,143800.0,179800,2021
toyota,2021.0,2021-08-27,suv,"parf car, direct owner sale, hybrid cars",auto,1665.0,160.0,2487.0,2.0,25680.0,61001,1784.0,68692.0,60000.0,40927.0,34298.0,198000.0,221888,2021
volvo,2013.0,2014-03-14,luxury sedan,"coe car, consignment car",auto,1549.0,84.0,1560.0,2.0,9230.0,79237,1278.0,77240.0,135104.0,32318.0,22246.0,89998.0,166000,2014
rolls-royce,2018.0,2021-04-30,sports car,"imported used vehicle, parf car, rare & exotic, low mileage car",auto,2435.0,465.0,6592.0,1.0,,52309,8004.0,,8000.0,333792.0,572826.0,1280000.0,1450000,2021
porsche,2015.0,2016-02-04,suv,"parf car, premium ad car",auto,2115.0,220.0,3598.0,3.0,40090.0,59889,3322.0,76913.0,146053.0,83334.0,122002.0,126688.0,400000,2016
peugeot,2016.0,2017-08-03,van,-,auto,1460.0,,1560.0,1.0,8130.0,28489,,8687.0,98000.0,19591.0,980.0,24800.0,104000,2017
land rover,2015.0,2015-10-30,suv,"parf car, low mileage car",auto,1841.0,177.0,1999.0,2.0,20800.0,60001,1212.0,56032.0,49973.0,63835.0,86903.0,71998.0,296000,2015
volvo,2017.0,2017-09-21,luxury sedan,parf car,auto,1615.0,140.0,1969.0,2.0,14500.0,48001,1764.0,29342.0,113000.0,28059.0,21283.0,58000.0,223000,2017
suzuki,2021.0,2022-02-25,van,"premium ad car, low mileage car",auto,920.0,,658.0,1.0,9200.0,29426,,22654.0,14000.0,15309.0,766.0,70800.0,99800,2022
mitsubishi,2021.0,2021-08-13,mid-sized sedan,"parf car, low mileage car, sgcarmart warranty cars",auto,945.0,59.0,1193.0,1.0,11910.0,41001,506.0,33113.0,19498.0,14397.0,5000.0,87800.0,75900,2021
mitsubishi,2008.0,2008-12-11,mid-sized sedan,"coe car, direct owner sale, low mileage car",auto,1313.0,80.0,1499.0,1.0,12680.0,27571,1026.0,12154.0,123928.0,18193.0,18193.0,55888.0,55000,2008
subaru,2016.0,2017-02-25,suv,"parf car, premium ad car",auto,1682.0,177.0,1998.0,2.0,14990.0,48209,1210.0,24143.0,99000.0,19237.0,19237.0,48800.0,155000,2017
suzuki,2023.0,2024-04-15,van,"almost new car, low mileage car",auto,840.0,,658.0,1.0,8830.0,59950,,58965.0,500.0,15101.0,756.0,86800.0,85000,2024
honda,2024.0,2024-06-28,mpv,"parf car, almost new car, low mileage car, hybrid cars",auto,1920.0,242.0,1993.0,1.0,21780.0,102334,1204.0,112080.0,45.0,38060.0,40284.0,236988.0,260000,2024
honda,2022.0,2022-04-29,van,-,auto,940.0,,658.0,2.0,8620.0,31569,,24364.0,33000.0,18213.0,911.0,66500.0,116000,2022
mazda,2019.0,2019-08-29,suv,"parf car, premium ad car",auto,1576.0,121.0,1998.0,1.0,16650.0,39889,1210.0,45230.0,100773.0,29591.0,33428.0,102000.0,187888,2019
mercedes-benz,2016.0,2016-08-12,stationwagon,"parf car, premium ad car",auto,1460.0,90.0,1595.0,2.0,16510.0,53000,740.0,27283.0,112638.0,31065.0,30491.0,48000.0,188000,2016
Toyota,2016.0,2016-09-06,van,-,manual,1760.0,,2982.0,3.0,15500.0,5591,,1147.0,98000.0,29761.0,1489.0,31800.0,134500,2016
subaru,2008.0,2008-12-30,hatchback,"coe car, premium ad car",auto,1390.0,184.0,1994.0,6.0,16070.0,31553,1809.0,14333.0,145000.0,25958.0,25958.0,73000.0,138000,2008
bmw,2011.0,2011-08-12,suv,"coe car, premium ad car",auto,1805.0,225.0,2979.0,5.0,17720.0,53932,3071.0,38004.0,140000.0,60060.0,60060.0,124888.0,199800,2011
volvo,2018.0,2019-08-29,hatchback,"parf car, premium ad car",auto,1441.0,140.0,1969.0,1.0,15180.0,39889,1176.0,38703.0,65404.0,22799.0,23919.0,91000.0,155000,2019
honda,2008.0,2008-11-05,mid-sized sedan,coe car,auto,1219.0,103.0,1799.0,6.0,13670.0,32121,1467.0,13605.0,145000.0,24242.0,24242.0,57888.0,100500,2008
mercedes-benz,2017.0,2018-02-07,suv,"parf car, premium ad car",auto,1435.0,90.0,1595.0,2.0,18470.0,41400,740.0,35452.0,73000.0,28082.0,31315.0,83000.0,198000,2018
toyota,2016.0,2016-06-03,suv,"parf car, premium ad car",auto,1610.0,111.0,1986.0,2.0,17190.0,47604,1196.0,23697.0,94448.0,28882.0,27435.0,44800.0,214888,2016
mercedes-benz,2018.0,2019-02-20,hatchback,"parf car, premium ad car",auto,1375.0,120.0,1332.0,2.0,19950.0,31101,586.0,39890.0,58400.0,32046.0,36865.0,108800.0,188000,2019
mercedes-benz,2006.0,2007-06-21,luxury sedan,"coe car, premium ad car, low mileage car",auto,1690.0,120.0,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,32800.0,227000,2007
mercedes-benz,2015.0,2015-09-21,van,premium ad car,manual,1420.0,,1461.0,2.0,10630.0,46801,,5193.0,110000.0,24963.0,1249.0,11800.0,100000,2015
mazda,2021.0,2021-05-17,suv,"parf car, sgcarmart warranty cars",auto,1256.0,85.0,1496.0,1.0,16040.0,48002,682.0,47949.0,58000.0,19638.0,19638.0,120800.0,122800,2021
audi,2016.0,2016-05-30,luxury sedan,"parf car, direct owner sale, low mileage car",auto,1310.0,92.0,1395.0,1.0,15180.0,47889,624.0,17773.0,57236.0,25118.0,17166.0,35000.0,162000,2016
mercedes-benz,2016.0,2016-05-13,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,1425.0,115.0,1595.0,4.0,19710.0,55001,740.0,30742.0,78000.0,35589.0,36825.0,56000.0,235000,2016
isuzu,2014.0,2014-12-11,truck,premium ad car,auto,7240.0,,7790.0,1.0,,49901,,2434.0,296566.0,52484.0,2625.0,35000.0,125000,2014
kia,2020.0,2021-03-31,suv,"parf car, premium ad car",auto,1323.0,103.0,1353.0,1.0,15660.0,47506,600.0,47120.0,35000.0,21202.0,21683.0,115888.0,117888,2021
volvo,2019.0,2021-03-18,luxury sedan,"parf car, premium ad car",auto,1695.0,187.0,1969.0,3.0,20770.0,47001,1176.0,65559.0,45000.0,38681.0,46154.0,159800.0,217000,2021
honda,2007.0,2007-10-10,hatchback,"coe car, premium ad car, low mileage car",auto,1040.0,60.0,1339.0,1.0,11640.0,42564,885.0,13457.0,134000.0,14400.0,15840.0,36800.0,85000,2007
audi,2021.0,2021-06-01,hatchback,"parf car, low mileage car, hybrid cars",auto,1395.0,110.0,1498.0,1.0,17670.0,63002,684.0,53895.0,22000.0,27268.0,15176.0,126800.0,246000,2021
honda,2015.0,2015-10-09,mpv,parf car,auto,1855.0,129.0,2356.0,2.0,17940.0,60001,1630.0,24568.0,127000.0,28590.0,32026.0,36800.0,175000,2015
audi,2020.0,2021-12-14,hatchback,"parf car, premium ad car, low mileage car",auto,1200.0,85.0,999.0,1.0,15070.0,57010,392.0,61952.0,16000.0,23987.0,25582.0,125800.0,194000,2021
bmw,2021.0,2021-06-24,hatchback,"parf car, premium ad car",auto,1380.0,80.0,1499.0,2.0,15390.0,47821,684.0,60333.0,75813.0,31169.0,35637.0,125998.0,180000,2021
bmw,2010.0,2011-05-24,sports car,"coe car, premium ad car",auto,1675.0,309.0,3999.0,5.0,19590.0,45586,5527.0,30212.0,150000.0,85932.0,85932.0,129800.0,426000,2011
kia,2009.0,2009-11-25,mid-sized sedan,"coe car, direct owner sale",auto,1251.0,92.0,1591.0,6.0,,16208,1107.0,1439.0,149838.0,11019.0,11019.0,5800.0,136000,2009
nissan,2017.0,2017-12-29,truck,premium ad car,manual,1760.0,,2953.0,1.0,11820.0,46890,,16585.0,91000.0,27176.0,1359.0,41800.0,62400,2017
honda,2019.0,2019-09-05,mid-sized sedan,parf car,auto,1237.0,92.0,1597.0,2.0,15980.0,31917,742.0,31200.0,82000.0,20072.0,20101.0,90800.0,128000,2019
bmw,2010.0,2010-05-31,luxury sedan,coe car,auto,1650.0,150.0,2497.0,6.0,14510.0,37502,2694.0,19594.0,177000.0,37893.0,37893.0,75800.0,185000,2010
volkswagen,2010.0,2011-06-01,sports car,"coe car, premium ad car",auto,1339.0,155.0,1984.0,4.0,16310.0,40714,1552.0,26659.0,139831.5,33242.0,33242.0,106800.0,160000,2011
honda,2019.0,2019-08-29,mpv,"parf car, low mileage car, hybrid cars, sgcarmart warranty cars",auto,1430.0,101.0,1496.0,1.0,16990.0,38602,682.0,34524.0,37983.0,27173.0,20043.0,95800.0,118800,2019
