make,model,manufactured,reg_date,type_of_vehicle,category,transmission,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,mileage,omv,arf,price,registration_year
bmw,318i,2016.0,2017-01-11,luxury sedan,"parf car, premium ad car",auto,100.0,1499.0,2.0,17210.0,50389,29459.0,82000.0,29860.0,28804.0,55999.0,2017
audi,q3,2020.0,2020-09-16,suv,"parf car, premium ad car",auto,110.0,1395.0,2.0,20740.0,41510,51246.0,55000.0,30410.0,34574.0,143800.0,2020
toyota,vios,2009.0,2009-12-11,mid-sized sedan,coe car,auto,80.0,1497.0,4.0,,15287,1156.0,149838.0,12717.0,12717.0,5800.0,2009
mitsubishi,outlander,2018.0,2018-11-30,suv,"parf car, premium ad car, low mileage car",auto,110.0,1998.0,1.0,16190.0,34381,31811.0,47000.0,22527.0,23538.0,84000.0,2018
mazda,3,2017.0,2017-06-05,mid-sized sedan,parf car,auto,88.0,1496.0,2.0,14450.0,52000,21300.0,87000.0,14761.0,9761.0,47800.0,2017
,civic,2018.0,2019-01-11,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,127.0,1498.0,2.0,17430.0,30851,34304.0,64000.0,26594.0,29232.0,92950.0,2019
bmw,630ci,2006.0,2006-04-06,sports car,coe car,auto,190.0,2996.0,5.0,16480.0,47450,8580.0,156756.5,73635.0,80999.0,29800.0,2006
mazda,2,2019.0,2020-10-19,hatchback,"opc car, parf car",auto,85.0,1496.0,1.0,10440.0,19534,25904.0,45000.0,18419.0,18419.0,73800.0,2020
peugeot,504,1981.0,2022-11-12,mid-sized sedan,"imported used vehicle, coe car, rare & exotic, vintage cars",manual,59.0,1796.0,2.0,,10766,9058.0,30000.0,3613.0,3613.0,49888.0,2022
toyota,noah,2018.0,2018-08-29,mpv,"parf car, premium ad car, hybrid cars",auto,100.0,1797.0,1.0,22310.0,38700,35279.0,85100.0,32573.0,27603.0,105800.0,2018
,golf,2018.0,2018-08-06,hatchback,"parf car, premium ad car",auto,81.0,999.0,3.0,13130.0,32699,25182.0,78000.0,17008.0,17008.0,61800.0,2018
hyundai,elantra,2017.0,2017-09-07,mid-sized sedan,"parf car, premium ad car",auto,93.0,1591.0,1.0,13700.0,46778,23273.0,129714.0,12579.0,12579.0,50500.0,2017
honda,e,2015.0,2015-12-14,mpv,"parf car, premium ad car, low mileage car",auto,129.0,2356.0,2.0,20010.0,57501,25993.0,70000.0,28300.0,31620.0,45800.0,2015
honda,stream,2008.0,2008-12-05,mpv,"coe car, low mileage car",auto,103.0,1799.0,1.0,12860.0,31553,13442.0,115000.0,17446.0,6947.0,54800.0,2008
volkswagen,arteon,2017.0,2017-12-29,luxury sedan,"parf car, premium ad car, low mileage car",auto,206.0,1984.0,1.0,22110.0,53711,54192.0,63161.0,44874.0,54824.0,103800.0,2017
mazda,3,2017.0,2017-02-17,mid-sized sedan,parf car,auto,88.0,1496.0,1.0,15130.0,48401,21745.0,102151.0,19672.0,14672.0,47800.0,2017
bentley,continental,2022.0,2023-04-13,sports car,"parf car, premium ad car, low mileage car",auto,404.0,3996.0,1.0,116950.0,107889,485041.0,1702.0,268927.0,531640.0,1288888.0,2023
bmw,430i,2016.0,2016-11-18,luxury sedan,"parf car, premium ad car, low mileage car",auto,185.0,1998.0,3.0,26250.0,56206,48636.0,63000.0,47372.0,58321.0,92888.0,2016
mercedes-benz,e230,2008.0,2009-01-21,luxury sedan,"coe car, premium ad car",auto,150.0,2497.0,2.0,10510.0,31553,14350.0,185000.0,55328.0,55328.0,47800.0,2009
honda,cr-v,2016.0,2016-04-06,suv,parf car,auto,140.0,2354.0,3.0,15870.0,46502,27206.0,86000.0,30143.0,34201.0,45800.0,2016
mercedes-benz,glc250,2019.0,2020-01-03,suv,parf car,auto,155.0,1991.0,1.0,24340.0,41805,63175.0,105000.0,43770.0,53278.0,161800.0,2020
honda,shuttle,2018.0,2019-02-28,stationwagon,"parf car, premium ad car, low mileage car",auto,97.0,1496.0,2.0,14240.0,26301,19110.0,47000.0,19924.0,9924.0,70800.0,2019
bmw,840i,2020.0,2023-06-07,luxury sedan,"imported used vehicle, parf car",auto,250.0,2998.0,1.0,,118990,,17000.0,82130.0,142816.0,358800.0,2023
mercedes-benz,amg,2014.0,2017-09-28,luxury sedan,"imported used vehicle, parf car",auto,155.0,1991.0,3.0,,50000,,112168.0,12360.0,12360.0,72333.0,2017
mercedes-benz,amg,2022.0,2023-01-06,suv,"parf car, consignment car, sgcarmart warranty cars",auto,243.0,2925.0,1.0,44570.0,108006,194953.0,52000.0,89365.0,136603.0,450000.0,2023
bmw,216i,2018.0,2018-05-24,mpv,"parf car, premium ad car",auto,75.0,1499.0,3.0,13980.0,38001,39297.0,163888.0,32789.0,37905.0,72888.0,2018
honda,city,2018.0,2018-05-22,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,88.0,1497.0,2.0,13020.0,38389,25705.0,95000.0,17233.0,17233.0,57800.0,2018
ssangyong,actyon,2011.0,2011-08-12,truck,"coe car, low mileage car",auto,,1998.0,3.0,9570.0,39522,28293.0,106000.0,16282.0,16282.0,68500.0,2011
isuzu,cyz52k,2012.0,2012-10-10,truck,coe car,manual,,15681.0,1.0,25730.0,26442,16155.0,108000.0,102219.0,5111.0,78600.0,2012
bmw,m4,2019.0,2022-10-28,sports car,"imported used vehicle, parf car",auto,317.0,2979.0,1.0,,90002,,38000.0,46215.0,56701.0,260800.0,2022
audi,q2,2019.0,2019-03-26,suv,parf car,auto,85.0,999.0,1.0,16260.0,26659,31345.0,90000.0,24924.0,26894.0,89800.0,2019
volvo,v40,2015.0,2015-12-18,hatchback,"parf car, sgcarmart warranty cars",auto,90.0,1498.0,3.0,14230.0,56989,18889.0,113000.0,22664.0,18730.0,30800.0,2015
mitsubishi,asx,2016.0,2016-10-26,suv,"parf car, premium ad car",auto,110.0,1998.0,1.0,14090.0,55501,24532.0,98000.0,19041.0,19041.0,42800.0,2016
toyota,altis,2014.0,2014-09-17,mid-sized sedan,"parf car, low mileage car",auto,90.0,1598.0,1.0,,62890,8427.0,90000.0,18650.0,13650.0,16888.0,2014
nissan,cabstar,2016.0,2017-09-14,truck,premium ad car,manual,,2953.0,1.0,10570.0,42809,13159.0,120381.0,26468.0,1324.0,32500.0,2017
volkswagen,golf,2015.0,2016-07-29,hatchback,parf car,auto,92.0,1395.0,2.0,15830.0,53000,17656.0,109000.0,20513.0,10719.0,38888.0,2016
honda,shuttle,2018.0,2018-06-12,stationwagon,"parf car, premium ad car, hybrid cars",auto,101.0,1496.0,2.0,14890.0,38700,18094.0,65000.0,20960.0,5000.0,59600.0,2018
toyota,harrier,2008.0,2009-09-23,suv,"coe car, low mileage car",auto,118.0,2362.0,5.0,11920.0,37941,20010.0,130650.0,27778.0,27778.0,62888.0,2009
kia,cerato,2014.0,2014-09-29,mid-sized sedan,"coe car, premium ad car, sgcarmart warranty cars",auto,95.0,1591.0,2.0,11850.0,39241,38273.0,112000.0,13767.0,8767.0,57800.0,2014
jaguar,i-pace,2021.0,2022-01-28,suv,"parf car, electric cars",auto,294.0,,1.0,24030.0,82501,122194.0,33000.0,79889.0,80801.0,219800.0,2022
toyota,estima,2008.0,2008-06-20,mpv,"coe car, premium ad car",auto,125.0,2362.0,4.0,12910.0,50578,17973.0,170000.0,28187.0,28187.0,45888.0,2008
hyundai,avante,2009.0,2009-02-16,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,89.0,1591.0,5.0,9910.0,25727,11475.0,140000.0,11635.0,336.0,44188.0,2009
nissan,qashqai,2017.0,2017-03-31,suv,"parf car, premium ad car",auto,85.0,1197.0,1.0,14340.0,50789,22315.0,81368.0,18583.0,13583.0,46800.0,2017
,cooper,2011.0,2012-01-31,hatchback,"coe car, premium ad car",auto,88.0,1598.0,2.0,14850.0,27020,13754.0,128266.5,25966.0,25966.0,37800.0,2012
,hiace,2012.0,2012-08-02,bus/mini bus,"coe car, premium ad car",auto,,2982.0,3.0,13730.0,26276,15996.0,108000.0,54645.0,2733.0,41800.0,2012
hyundai,avante,2009.0,2009-08-07,mid-sized sedan,"coe car, consignment car",auto,89.0,1591.0,4.0,10010.0,26175,12765.0,199661.0,11216.0,11216.0,48800.0,2009
mg,f,1995.0,1998-11-06,sports car,"coe car, premium ad car, low mileage car",auto,,1796.0,6.0,11050.0,32279,14141.0,91000.0,30259.0,42363.0,48400.0,1998
lexus,rx,2023.0,2023-10-31,suv,"parf car, almost new car, low mileage car, hybrid cars",auto,184.0,2487.0,1.0,34670.0,150001,180001.0,8000.0,73915.0,120788.0,377800.0,2023
mazda,2,2016.0,2016-05-27,luxury sedan,"parf car, premium ad car",auto,141.0,2488.0,3.0,12510.0,49700,26306.0,109062.0,27853.0,30995.0,38800.0,2016
volkswagen,golf,2018.0,2019-05-29,hatchback,"parf car, premium ad car, low mileage car",auto,92.0,1395.0,2.0,15870.0,27000,31987.0,44000.0,24707.0,26590.0,91888.0,2019
kia,stonic,2020.0,2020-10-07,suv,"parf car, low mileage car",auto,88.0,998.0,1.0,14170.0,38504,30766.0,34296.0,19037.0,9037.0,92800.0,2020
mazda,3,2019.0,2021-01-04,mid-sized sedan,"parf car, hybrid cars",auto,88.0,1496.0,1.0,15330.0,37690,34489.0,72000.0,26036.0,13451.0,105988.0,2021
seat,leon,2017.0,2018-11-23,stationwagon,parf car,auto,85.0,999.0,1.0,12750.0,28199,32338.0,94000.0,25933.0,28307.0,70800.0,2018
audi,q3,2021.0,2021-04-26,suv,"parf car, premium ad car",auto,110.0,1395.0,1.0,19940.0,47001,54458.0,42000.0,27557.0,30580.0,148999.0,2021
hyundai,i30,2018.0,2019-03-12,hatchback,"parf car, premium ad car, sgcarmart warranty cars",auto,103.0,1353.0,1.0,15770.0,36961,30191.0,57500.0,18103.0,18103.0,83800.0,2019
nissan,nv350,2019.0,2020-02-21,van,premium ad car,manual,,2488.0,1.0,11060.0,25001,14014.0,62000.0,25565.0,1279.0,61988.0,2020
bmw,x4,2019.0,2019-08-16,suv,"parf car, direct owner sale",auto,135.0,1998.0,2.0,27800.0,40001,64457.0,62000.0,47396.0,58355.0,173000.0,2019
nissan,note,2021.0,2022-02-17,hatchback,"parf car, premium ad car, hybrid cars",auto,85.0,1198.0,2.0,13970.0,60761,51509.0,24467.0,21061.0,6486.0,110500.0,2022
toyota,rush,2008.0,2008-09-29,suv,"coe car, premium ad car",auto,80.0,1495.0,4.0,11600.0,32339,13609.0,145000.0,15281.0,15281.0,48800.0,2008
hyundai,elantra,2017.0,2017-11-02,mid-sized sedan,"parf car, premium ad car",auto,93.0,1591.0,2.0,15980.0,41761,21893.0,123000.0,11960.0,11960.0,60000.0,2017
mini,cooper,2015.0,2016-02-26,hatchback,parf car,auto,100.0,1499.0,2.0,19110.0,46970,21766.0,98200.0,27192.0,25069.0,45000.0,2016
lexus,es,2015.0,2015-08-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,135.0,2494.0,1.0,18320.0,62140,32758.0,87337.0,39966.0,47953.0,42800.0,2015
mercedes-benz,glc200,2018.0,2019-01-23,suv,parf car,auto,135.0,1991.0,2.0,23440.0,31001,49741.0,123000.0,42569.0,51597.0,128800.0,2019
peugeot,partner,2017.0,2018-06-19,van,premium ad car,auto,,1560.0,2.0,8430.0,30280,12145.0,91000.0,20290.0,1015.0,33800.0,2018
honda,vezel,2017.0,2017-08-02,suv,"parf car, hybrid cars",auto,112.0,1496.0,2.0,14870.0,50001,18483.0,76000.0,25340.0,5000.0,47800.0,2017
honda,civic,2007.0,2008-01-17,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,92.0,1595.0,6.0,16910.0,42698,15137.0,136000.0,18919.0,20811.0,60000.0,2008
honda,fit,2018.0,2018-07-23,hatchback,"parf car, hybrid cars",auto,101.0,1496.0,2.0,13350.0,31001,18404.0,78000.0,19759.0,9759.0,56800.0,2018
mercedes-benz,amg,2013.0,2013-10-24,luxury sedan,"coe car, premium ad car, sgcarmart warranty cars",auto,115.0,1595.0,5.0,11830.0,99617,79694.0,119000.0,29909.0,23873.0,109800.0,2013
bmw,420i,2017.0,2017-06-27,luxury sedan,parf car,auto,135.0,1998.0,2.0,21170.0,47501,40507.0,105000.0,40838.0,44174.0,84500.0,2017
mercedes-benz,c180,2008.0,2009-02-25,luxury sedan,"coe car, premium ad car",auto,115.0,1796.0,5.0,11380.0,31335,14260.0,165000.0,37067.0,37067.0,51800.0,2009
bentley,continental,2013.0,2013-12-11,sports car,"coe car, consignment car",auto,373.0,3993.0,5.0,28640.0,45586,30212.0,108000.0,172046.0,281683.0,189800.0,2013
volkswagen,passat,2016.0,2016-04-01,luxury sedan,"parf car, premium ad car",auto,132.0,1798.0,1.0,14400.0,50089,25150.0,107529.0,31415.0,30981.0,38800.0,2016
audi,r8,2011.0,2011-07-14,sports car,"coe car, premium ad car",auto,316.0,4163.0,6.0,30160.0,53932,36836.0,128266.5,147728.0,147728.0,206000.0,2011
audi,a1,2016.0,2017-04-27,hatchback,"parf car, premium ad car",auto,70.0,999.0,5.0,15850.0,48556,17925.0,82308.0,21256.0,6759.0,48800.0,2017
citroen,e-dispatch,2022.0,2024-01-19,van,"almost new car, electric cars",auto,,,1.0,11920.0,23143,22217.0,16579.5,47243.0,2363.0,114500.0,2024
honda,vezel,2017.0,2017-06-30,suv,"parf car, premium ad car, hybrid cars",auto,112.0,1496.0,1.0,14750.0,53001,18276.0,94000.0,26381.0,5000.0,45000.0,2017
audi,q5,2019.0,2020-07-13,suv,"parf car, premium ad car",auto,185.0,1984.0,1.0,22720.0,35889,61850.0,61000.0,43839.0,53375.0,164800.0,2020
toyota,alphard,2019.0,2020-10-22,mpv,parf car,auto,134.0,2493.0,2.0,26730.0,41001,62153.0,54000.0,40098.0,48138.0,193888.0,2020
ferrari,328,1986.0,1986-09-01,sports car,"coe car, rare & exotic, low mileage car, vintage cars",manual,,3185.0,5.0,276380.0,59798,7962.0,45000.0,,,368000.0,1986
,golf,2015.0,2015-11-20,hatchback,parf car,auto,90.0,1395.0,2.0,11950.0,56001,12171.0,110000.0,19158.0,9158.0,19800.0,2015
hyundai,accent,2018.0,2018-02-07,mid-sized sedan,"parf car, sgcarmart warranty cars",auto,73.0,1368.0,3.0,12370.0,41400,19845.0,78000.0,7828.0,7828.0,48000.0,2018
porsche,macan,2014.0,2015-05-19,suv,"parf car, direct owner sale",auto,250.0,2997.0,4.0,48410.0,77600,57470.0,116000.0,71450.0,100610.0,95000.0,2015
hyundai,getz,2008.0,2008-11-12,hatchback,"coe car, low mileage car",manual,48.0,1086.0,1.0,9090.0,30284,13267.0,130000.0,7890.0,7890.0,39800.0,2008
tesla,model,2021.0,2021-09-20,luxury sedan,"parf car, consignment car, electric cars",auto,377.0,,1.0,16090.0,62600,88663.0,87000.0,73264.0,58876.0,143800.0,2021
toyota,harrier,2021.0,2021-08-27,suv,"parf car, direct owner sale, hybrid cars",auto,160.0,2487.0,2.0,25680.0,61001,68692.0,60000.0,40927.0,34298.0,198000.0,2021
volvo,s60,2013.0,2014-03-14,luxury sedan,"coe car, consignment car",auto,84.0,1560.0,2.0,9230.0,79237,77240.0,135104.0,32318.0,22246.0,89998.0,2014
rolls-royce,wraith,2018.0,2021-04-30,sports car,"imported used vehicle, parf car, rare & exotic, low mileage car",auto,465.0,6592.0,1.0,,52309,,8000.0,333792.0,572826.0,1280000.0,2021
porsche,cayenne,2015.0,2016-02-04,suv,"parf car, premium ad car",auto,220.0,3598.0,3.0,40090.0,59889,76913.0,146053.0,83334.0,122002.0,126688.0,2016
peugeot,partner,2016.0,2017-08-03,van,-,auto,,1560.0,1.0,8130.0,28489,8687.0,98000.0,19591.0,980.0,24800.0,2017
land rover,discovery,2015.0,2015-10-30,suv,"parf car, low mileage car",auto,177.0,1999.0,2.0,20800.0,60001,56032.0,49973.0,63835.0,86903.0,71998.0,2015
volvo,s60,2017.0,2017-09-21,luxury sedan,parf car,auto,140.0,1969.0,2.0,14500.0,48001,29342.0,113000.0,28059.0,21283.0,58000.0,2017
suzuki,every,2021.0,2022-02-25,van,"premium ad car, low mileage car",auto,,658.0,1.0,9200.0,29426,22654.0,14000.0,15309.0,766.0,70800.0,2022
mitsubishi,attrage,2021.0,2021-08-13,mid-sized sedan,"parf car, low mileage car, sgcarmart warranty cars",auto,59.0,1193.0,1.0,11910.0,41001,33113.0,19498.0,14397.0,5000.0,87800.0,2021
mitsubishi,lancer,2008.0,2008-12-11,mid-sized sedan,"coe car, direct owner sale, low mileage car",auto,80.0,1499.0,1.0,12680.0,27571,12154.0,123928.0,18193.0,18193.0,55888.0,2008
subaru,forester,2016.0,2017-02-25,suv,"parf car, premium ad car",auto,177.0,1998.0,2.0,14990.0,48209,24143.0,99000.0,19237.0,19237.0,48800.0,2017
suzuki,spacia,2023.0,2024-04-15,van,"almost new car, low mileage car",auto,,658.0,1.0,8830.0,59950,58965.0,500.0,15101.0,756.0,86800.0,2024
honda,e,2024.0,2024-06-28,mpv,"parf car, almost new car, low mileage car, hybrid cars",auto,242.0,1993.0,1.0,21780.0,102334,112080.0,45.0,38060.0,40284.0,236988.0,2024
honda,n-van,2022.0,2022-04-29,van,-,auto,,658.0,2.0,8620.0,31569,24364.0,33000.0,18213.0,911.0,66500.0,2022
mazda,2,2019.0,2019-08-29,suv,"parf car, premium ad car",auto,121.0,1998.0,1.0,16650.0,39889,45230.0,100773.0,29591.0,33428.0,102000.0,2019
mercedes-benz,cla180,2016.0,2016-08-12,stationwagon,"parf car, premium ad car",auto,90.0,1595.0,2.0,16510.0,53000,27283.0,112638.0,31065.0,30491.0,48000.0,2016
,hiace,2016.0,2016-09-06,van,-,manual,,2982.0,3.0,15500.0,5591,1147.0,98000.0,29761.0,1489.0,31800.0,2016
subaru,impreza,2008.0,2008-12-30,hatchback,"coe car, premium ad car",auto,184.0,1994.0,6.0,16070.0,31553,14333.0,145000.0,25958.0,25958.0,73000.0,2008
bmw,x3,2011.0,2011-08-12,suv,"coe car, premium ad car",auto,225.0,2979.0,5.0,17720.0,53932,38004.0,140000.0,60060.0,60060.0,124888.0,2011
volvo,v40,2018.0,2019-08-29,hatchback,"parf car, premium ad car",auto,140.0,1969.0,1.0,15180.0,39889,38703.0,65404.0,22799.0,23919.0,91000.0,2019
honda,civic,2008.0,2008-11-05,mid-sized sedan,coe car,auto,103.0,1799.0,6.0,13670.0,32121,13605.0,145000.0,24242.0,24242.0,57888.0,2008
mercedes-benz,gla180,2017.0,2018-02-07,suv,"parf car, premium ad car",auto,90.0,1595.0,2.0,18470.0,41400,35452.0,73000.0,28082.0,31315.0,83000.0,2018
toyota,harrier,2016.0,2016-06-03,suv,"parf car, premium ad car",auto,111.0,1986.0,2.0,17190.0,47604,23697.0,94448.0,28882.0,27435.0,44800.0,2016
mercedes-benz,a200,2018.0,2019-02-20,hatchback,"parf car, premium ad car",auto,120.0,1332.0,2.0,19950.0,31101,39890.0,58400.0,32046.0,36865.0,108800.0,2019
mercedes-benz,e200,2006.0,2007-06-21,luxury sedan,"coe car, premium ad car, low mileage car",auto,120.0,1796.0,2.0,11400.0,52491,15100.0,146208.0,57169.0,40019.0,32800.0,2007
mercedes-benz,citan,2015.0,2015-09-21,van,premium ad car,manual,,1461.0,2.0,10630.0,46801,5193.0,110000.0,24963.0,1249.0,11800.0,2015
mazda,cx-3,2021.0,2021-05-17,suv,"parf car, sgcarmart warranty cars",auto,85.0,1496.0,1.0,16040.0,48002,47949.0,58000.0,19638.0,19638.0,120800.0,2021
audi,a3,2016.0,2016-05-30,luxury sedan,"parf car, direct owner sale, low mileage car",auto,92.0,1395.0,1.0,15180.0,47889,17773.0,57236.0,25118.0,17166.0,35000.0,2016
mercedes-benz,c180,2016.0,2016-05-13,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,115.0,1595.0,4.0,19710.0,55001,30742.0,78000.0,35589.0,36825.0,56000.0,2016
isuzu,fvr34,2014.0,2014-12-11,truck,premium ad car,auto,,7790.0,1.0,,49901,2434.0,296566.0,52484.0,2625.0,35000.0,2014
kia,seltos,2020.0,2021-03-31,suv,"parf car, premium ad car",auto,103.0,1353.0,1.0,15660.0,47506,47120.0,35000.0,21202.0,21683.0,115888.0,2021
volvo,s90,2019.0,2021-03-18,luxury sedan,"parf car, premium ad car",auto,187.0,1969.0,3.0,20770.0,47001,65559.0,45000.0,38681.0,46154.0,159800.0,2021
honda,jazz,2007.0,2007-10-10,hatchback,"coe car, premium ad car, low mileage car",auto,60.0,1339.0,1.0,11640.0,42564,13457.0,134000.0,14400.0,15840.0,36800.0,2007
audi,a3,2021.0,2021-06-01,hatchback,"parf car, low mileage car, hybrid cars",auto,110.0,1498.0,1.0,17670.0,63002,53895.0,22000.0,27268.0,15176.0,126800.0,2021
honda,e,2015.0,2015-10-09,mpv,parf car,auto,129.0,2356.0,2.0,17940.0,60001,24568.0,127000.0,28590.0,32026.0,36800.0,2015
audi,a1,2020.0,2021-12-14,hatchback,"parf car, premium ad car, low mileage car",auto,85.0,999.0,1.0,15070.0,57010,61952.0,16000.0,23987.0,25582.0,125800.0,2021
bmw,216i,2021.0,2021-06-24,hatchback,"parf car, premium ad car",auto,80.0,1499.0,2.0,15390.0,47821,60333.0,75813.0,31169.0,35637.0,125998.0,2021
bmw,m3,2010.0,2011-05-24,sports car,"coe car, premium ad car",auto,309.0,3999.0,5.0,19590.0,45586,30212.0,150000.0,85932.0,85932.0,129800.0,2011
kia,cerato,2009.0,2009-11-25,mid-sized sedan,"coe car, direct owner sale",auto,92.0,1591.0,6.0,,16208,1439.0,149838.0,11019.0,11019.0,5800.0,2009
nissan,cabstar,2017.0,2017-12-29,truck,premium ad car,manual,,2953.0,1.0,11820.0,46890,16585.0,91000.0,27176.0,1359.0,41800.0,2017
honda,civic,2019.0,2019-09-05,mid-sized sedan,parf car,auto,92.0,1597.0,2.0,15980.0,31917,31200.0,82000.0,20072.0,20101.0,90800.0,2019
bmw,523i,2010.0,2010-05-31,luxury sedan,coe car,auto,150.0,2497.0,6.0,14510.0,37502,19594.0,177000.0,37893.0,37893.0,75800.0,2010
volkswagen,golf,2010.0,2011-06-01,sports car,"coe car, premium ad car",auto,155.0,1984.0,4.0,16310.0,40714,26659.0,139831.5,33242.0,33242.0,106800.0,2011
honda,freed,2019.0,2019-08-29,mpv,"parf car, low mileage car, hybrid cars, sgcarmart warranty cars",auto,101.0,1496.0,1.0,16990.0,38602,34524.0,37983.0,27173.0,20043.0,95800.0,2019
mazda,3,2017.0,2018-01-11,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,88.0,1496.0,2.0,12070.0,42900,24477.0,91000.0,15108.0,15108.0,48800.0,2018
citroen,c4,2017.0,2017-12-28,suv,"parf car, premium ad car",auto,81.0,1199.0,2.0,12520.0,38200,16751.0,146146.0,18278.0,5000.0,46800.0,2017
mercedes-benz,e200,1999.0,2000-01-27,luxury sedan,"coe car, direct owner sale, low mileage car",auto,,1998.0,5.0,10320.0,39463,22175.0,175500.0,51347.0,71886.0,58000.0,2000
toyota,wish,2017.0,2018-04-27,mpv,"parf car, sgcarmart warranty cars",auto,105.0,1798.0,4.0,17290.0,38801,27970.0,86148.0,19955.0,19955.0,76800.0,2018
infiniti,q60,2017.0,2017-06-30,sports car,"parf car, premium ad car",auto,155.0,1991.0,2.0,20450.0,55000,46292.0,99000.0,38231.0,45524.0,84888.0,2017
honda,fit,2018.0,2018-06-07,hatchback,parf car,auto,73.0,1317.0,1.0,13160.0,38001,19327.0,83699.0,17390.0,7390.0,53999.0,2018
volvo,v40,2017.0,2018-01-26,hatchback,parf car,auto,140.0,1969.0,1.0,15450.0,42661,33597.0,100898.0,26078.0,28510.0,68822.0,2018
bmw,x1,2019.0,2019-07-23,suv,"parf car, premium ad car",auto,103.0,1499.0,1.0,17970.0,34000,48876.0,73000.0,35726.0,42017.0,112800.0,2019
bmw,228i,2015.0,2016-01-19,sports car,"parf car, premium ad car, sgcarmart warranty cars",auto,180.0,1997.0,2.0,24830.0,59889,38528.0,120000.0,45011.0,55016.0,61800.0,2016
mercedes-benz,s320l,2019.0,2019-04-30,luxury sedan,parf car,auto,200.0,2996.0,1.0,34320.0,39401,116557.0,62000.0,92820.0,139076.0,236800.0,2019
audi,a6,2011.0,2012-01-30,stationwagon,coe car,auto,132.0,1984.0,6.0,15870.0,45586,29874.0,128266.5,48190.0,48190.0,104000.0,2012
lexus,es,2019.0,2019-05-23,luxury sedan,parf car,auto,152.0,2487.0,2.0,23250.0,48010,57302.0,101000.0,39999.0,47999.0,138800.0,2019
toyota,vellfire,2020.0,2022-12-20,mpv,"coe car, hybrid cars",auto,145.0,2493.0,2.0,28760.0,95856,76685.0,48000.0,38675.0,46145.0,238800.0,2022
isuzu,ftr34p,2008.0,2008-04-10,truck,"coe car, premium ad car",manual,,7790.0,5.0,18390.0,40585,,145000.0,51527.0,2577.0,69800.0,2008
toyota,harrier,2015.0,2016-04-18,suv,"parf car, premium ad car",auto,111.0,1986.0,1.0,16550.0,47000,22943.0,119822.0,29165.0,27831.0,40800.0,2016
